tournament,year,stage,date,home_team,home_score,away_team,away_score,neutral
2011 FIFA Women's World Cup,2011,Group D,2011-07-03,Brazil,3,Norway,0,1
2011 FIFA Women's World Cup,2011,Group A,2011-07-05,Canada,0,Nigeria,1,1
2011 FIFA Women's World Cup,2011,Group A,2011-07-05,France,2,Germany,4,1
2011 FIFA Women's World Cup,2011,Group B,2011-07-05,England,2,Japan,0,1
2011 FIFA Women's World Cup,2011,Group B,2011-07-05,New Zealand,2,Mexico,2,1
2011 FIFA Women's World Cup,2011,Group C,2011-07-06,North Korea,0,Colombia,0,1
2011 FIFA Women's World Cup,2011,Group C,2011-07-06,Sweden,2,United States,1,1
2011 FIFA Women's World Cup,2011,Group D,2011-07-06,Australia,2,Norway,1,1
2011 FIFA Women's World Cup,2011,Group D,2011-07-06,Equatorial Guinea,0,Brazil,3,1
2011 FIFA Women's World Cup,2011,quarter-final,2011-07-09,England,1,France,1,1
2011 FIFA Women's World Cup,2011,quarter-final,2011-07-09,Germany,0,Japan,1,0
2011 FIFA Women's World Cup,2011,quarter-final,2011-07-10,Brazil,2,United States,2,1
2011 FIFA Women's World Cup,2011,quarter-final,2011-07-10,Sweden,3,Australia,1,1
2011 FIFA Women's World Cup,2011,semi-final,2011-07-13,France,1,United States,3,1
2011 FIFA Women's World Cup,2011,semi-final,2011-07-13,Japan,3,Sweden,1,1
2011 FIFA Women's World Cup,2011,third-place match,2011-07-16,Sweden,2,France,1,1
2011 FIFA Women's World Cup,2011,final,2011-07-17,Japan,2,United States,2,1
2014 FIFA Men's World Cup,2014,Group A,2014-06-12,Brazil,3,Croatia,1,0
2014 FIFA Men's World Cup,2014,Group A,2014-06-13,Mexico,1,Cameroon,0,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-13,Chile,3,Australia,1,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-13,Spain,1,Netherlands,5,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-14,Colombia,3,Greece,0,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-14,Ivory Coast,2,Japan,1,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-14,England,1,Italy,2,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-14,Uruguay,1,Costa Rica,3,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-15,France,3,Honduras,0,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-15,Switzerland,2,Ecuador,1,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-15,Argentina,2,Bosnia and Herzegovina,1,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-16,Iran,0,Nigeria,0,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-16,Germany,4,Portugal,0,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-16,Ghana,1,United States,2,1
2014 FIFA Men's World Cup,2014,Group A,2014-06-17,Brazil,0,Mexico,0,0
2014 FIFA Men's World Cup,2014,Group H,2014-06-17,Belgium,2,Algeria,1,1
2014 FIFA Men's World Cup,2014,Group H,2014-06-17,Russia,1,South Korea,1,1
2014 FIFA Men's World Cup,2014,Group A,2014-06-18,Cameroon,0,Croatia,4,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-18,Australia,2,Netherlands,3,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-18,Spain,0,Chile,2,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-19,Colombia,2,Ivory Coast,1,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-19,Japan,0,Greece,0,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-19,Uruguay,2,England,1,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-20,Italy,0,Costa Rica,1,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-20,Honduras,1,Ecuador,2,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-20,Switzerland,2,France,5,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-21,Argentina,1,Iran,0,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-21,Nigeria,1,Bosnia and Herzegovina,0,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-21,Germany,2,Ghana,2,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-22,United States,2,Portugal,2,1
2014 FIFA Men's World Cup,2014,Group H,2014-06-22,Belgium,1,Russia,0,1
2014 FIFA Men's World Cup,2014,Group H,2014-06-22,South Korea,2,Algeria,4,1
2014 FIFA Men's World Cup,2014,Group A,2014-06-23,Cameroon,1,Brazil,4,1
2014 FIFA Men's World Cup,2014,Group A,2014-06-23,Croatia,1,Mexico,3,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-23,Australia,0,Spain,3,1
2014 FIFA Men's World Cup,2014,Group B,2014-06-23,Netherlands,2,Chile,0,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-24,Greece,2,Ivory Coast,1,1
2014 FIFA Men's World Cup,2014,Group C,2014-06-24,Japan,1,Colombia,4,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-24,Costa Rica,0,England,0,1
2014 FIFA Men's World Cup,2014,Group D,2014-06-24,Italy,0,Uruguay,1,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-25,Ecuador,0,France,0,1
2014 FIFA Men's World Cup,2014,Group E,2014-06-25,Honduras,0,Switzerland,3,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-25,Bosnia and Herzegovina,3,Iran,1,1
2014 FIFA Men's World Cup,2014,Group F,2014-06-25,Nigeria,2,Argentina,3,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-26,Portugal,2,Ghana,1,1
2014 FIFA Men's World Cup,2014,Group G,2014-06-26,United States,0,Germany,1,1
2014 FIFA Men's World Cup,2014,Group H,2014-06-26,Algeria,1,Russia,1,1
2014 FIFA Men's World Cup,2014,Group H,2014-06-26,South Korea,0,Belgium,1,1
2014 FIFA Men's World Cup,2014,round of 16,2014-06-28,Brazil,1,Chile,1,0
2014 FIFA Men's World Cup,2014,round of 16,2014-06-28,Colombia,2,Uruguay,0,1
2014 FIFA Men's World Cup,2014,round of 16,2014-06-29,Costa Rica,1,Greece,1,1
2014 FIFA Men's World Cup,2014,round of 16,2014-06-29,Netherlands,2,Mexico,1,1
2014 FIFA Men's World Cup,2014,round of 16,2014-06-30,France,2,Nigeria,0,1
2014 FIFA Men's World Cup,2014,round of 16,2014-06-30,Germany,2,Algeria,1,1
2014 FIFA Men's World Cup,2014,round of 16,2014-07-01,Argentina,1,Switzerland,0,1
2014 FIFA Men's World Cup,2014,round of 16,2014-07-01,Belgium,2,United States,1,1
2014 FIFA Men's World Cup,2014,quarter-finals,2014-07-04,Brazil,2,Colombia,1,0
2014 FIFA Men's World Cup,2014,quarter-finals,2014-07-04,France,0,Germany,1,1
2014 FIFA Men's World Cup,2014,quarter-finals,2014-07-05,Argentina,1,Belgium,0,1
2014 FIFA Men's World Cup,2014,quarter-finals,2014-07-05,Netherlands,0,Costa Rica,0,1
2014 FIFA Men's World Cup,2014,semi-finals,2014-07-08,Brazil,1,Germany,7,0
2014 FIFA Men's World Cup,2014,semi-finals,2014-07-09,Netherlands,0,Argentina,0,1
2014 FIFA Men's World Cup,2014,third-place match,2014-07-12,Brazil,0,Netherlands,3,0
2014 FIFA Men's World Cup,2014,final,2014-07-13,Germany,1,Argentina,0,1
2015 FIFA Women's World Cup,2015,Group A,2015-06-06,Canada,1,China,0,0
2015 FIFA Women's World Cup,2015,Group A,2015-06-06,New Zealand,0,Netherlands,1,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-07,Germany,10,Ivory Coast,0,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-07,Norway,4,Thailand,0,1
2015 FIFA Women's World Cup,2015,Group C,2015-06-08,Japan,1,Switzerland,0,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-08,Sweden,3,Nigeria,3,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-08,United States,3,Australia,1,1
2015 FIFA Women's World Cup,2015,Group c,2015-06-08,Cameroon,6,Ecuador,0,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-09,Brazil,2,South Korea,0,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-09,Spain,1,Costa Rica,1,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-09,Colombia,1,Mexico,1,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-09,France,1,England,0,1
2015 FIFA Women's World Cup,2015,Group A,2015-06-11,Canada,0,New Zealand,0,0
2015 FIFA Women's World Cup,2015,Group A,2015-06-11,China,1,Netherlands,0,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-11,Germany,1,Norway,1,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-11,Ivory Coast,2,Thailand,3,1
2015 FIFA Women's World Cup,2015,Group C,2015-06-12,Japan,2,Cameroon,1,1
2015 FIFA Women's World Cup,2015,Group C,2015-06-12,Switzerland,10,Ecuador,1,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-12,Australia,2,Nigeria,0,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-12,United States,0,Sweden,0,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-13,Brazil,1,Spain,0,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-13,South Korea,2,Costa Rica,2,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-13,England,2,Mexico,1,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-13,France,0,Colombia,2,1
2015 FIFA Women's World Cup,2015,Group A,2015-06-15,China,2,New Zealand,2,1
2015 FIFA Women's World Cup,2015,Group A,2015-06-15,Netherlands,1,Canada,1,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-15,Ivory Coast,1,Norway,3,1
2015 FIFA Women's World Cup,2015,Group B,2015-06-15,Thailand,0,Germany,4,1
2015 FIFA Women's World Cup,2015,Group C,2015-06-16,Ecuador,0,Japan,1,1
2015 FIFA Women's World Cup,2015,Group C,2015-06-16,Switzerland,1,Cameroon,2,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-16,Australia,1,Sweden,1,1
2015 FIFA Women's World Cup,2015,Group D,2015-06-16,Nigeria,0,United States,1,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-17,Costa Rica,0,Brazil,1,1
2015 FIFA Women's World Cup,2015,Group E,2015-06-17,South Korea,2,Spain,1,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-17,England,2,Colombia,1,1
2015 FIFA Women's World Cup,2015,Group F,2015-06-17,Mexico,0,France,5,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-20,China,1,Cameroon,0,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-20,Germany,4,Sweden,1,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-21,Brazil,0,Australia,1,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-21,Canada,1,Switzerland,0,0
2015 FIFA Women's World Cup,2015,round of 16,2015-06-21,France,3,South Korea,0,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-22,Norway,1,England,2,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-22,United States,2,Colombia,0,1
2015 FIFA Women's World Cup,2015,round of 16,2015-06-23,Japan,2,Netherlands,1,1
2015 FIFA Women's World Cup,2015,quarter-final,2015-06-26,China,0,United States,1,1
2015 FIFA Women's World Cup,2015,quarter-final,2015-06-26,Germany,1,France,1,1
2015 FIFA Women's World Cup,2015,quarter-final,2015-06-27,Australia,0,Japan,1,1
2015 FIFA Women's World Cup,2015,quarter-final,2015-06-27,England,2,Canada,1,1
2015 FIFA Women's World Cup,2015,semi-final,2015-06-30,United States,2,Germany,0,1
2015 FIFA Women's World Cup,2015,semi-final,2015-07-01,Japan,2,England,1,1
2015 FIFA Women's World Cup,2015,third-place match,2015-07-04,Germany,0,England,1,1
2015 FIFA Women's World Cup,2015,final,2015-07-05,United States,5,Japan,2,1
2018 FIFA Men's World Cup,2018,Group A,2018-06-14,Russia,5,Saudi Arabia,0,0
2018 FIFA Men's World Cup,2018,Group A,2018-06-15,Egypt,0,Uruguay,1,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-15,Morocco,0,Iran,1,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-15,Portugal,3,Spain,3,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-16,France,2,Australia,1,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-16,Peru,0,Denmark,1,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-16,Argentina,1,Iceland,1,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-16,Croatia,2,Nigeria,0,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-17,Brazil,1,Switzerland,1,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-17,Costa Rica,0,Serbia,1,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-17,Germany,0,Mexico,1,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-18,Sweden,1,South Korea,0,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-18,Belgium,3,Panama,0,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-18,Tunisia,1,England,2,1
2018 FIFA Men's World Cup,2018,Group A,2018-06-19,Russia,3,Egypt,1,0
2018 FIFA Men's World Cup,2018,Group H,2018-06-19,Colombia,1,Japan,2,1
2018 FIFA Men's World Cup,2018,Group H,2018-06-19,Poland,1,Senegal,2,1
2018 FIFA Men's World Cup,2018,Group A,2018-06-20,Uruguay,1,Saudi Arabia,0,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-20,Iran,0,Spain,1,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-20,Portugal,1,Morocco,0,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-21,Denmark,1,Australia,1,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-21,France,1,Peru,0,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-21,Argentina,0,Croatia,3,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-22,Nigeria,2,Iceland,0,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-22,Brazil,2,Costa Rica,0,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-22,Serbia,1,Switzerland,2,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-23,Germany,2,Sweden,1,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-23,South Korea,1,Mexico,2,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-23,Belgium,5,Tunisia,2,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-24,England,6,Panama,1,1
2018 FIFA Men's World Cup,2018,Group H,2018-06-24,Japan,2,Senegal,2,1
2018 FIFA Men's World Cup,2018,Group H,2018-06-24,Poland,0,Colombia,3,1
2018 FIFA Men's World Cup,2018,Group A,2018-06-25,Saudi Arabia,2,Egypt,1,1
2018 FIFA Men's World Cup,2018,Group A,2018-06-25,Uruguay,3,Russia,0,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-25,Iran,1,Portugal,1,1
2018 FIFA Men's World Cup,2018,Group B,2018-06-25,Spain,2,Morocco,2,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-26,Australia,0,Peru,2,1
2018 FIFA Men's World Cup,2018,Group C,2018-06-26,Denmark,0,France,0,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-26,Iceland,1,Croatia,2,1
2018 FIFA Men's World Cup,2018,Group D,2018-06-26,Nigeria,1,Argentina,2,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-27,Serbia,0,Brazil,2,1
2018 FIFA Men's World Cup,2018,Group E,2018-06-27,Switzerland,2,Costa Rica,2,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-27,Mexico,0,Sweden,3,1
2018 FIFA Men's World Cup,2018,Group F,2018-06-27,South Korea,2,Germany,0,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-28,England,0,Belgium,1,1
2018 FIFA Men's World Cup,2018,Group G,2018-06-28,Panama,1,Tunisia,2,1
2018 FIFA Men's World Cup,2018,Group H,2018-06-28,Japan,0,Poland,1,1
2018 FIFA Men's World Cup,2018,Group H,2018-06-28,Senegal,0,Colombia,1,1
2018 FIFA Men's World Cup,2018,round of 16,2018-06-30,France,4,Argentina,3,1
2018 FIFA Men's World Cup,2018,round of 16,2018-06-30,Uruguay,2,Portugal,1,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-01,Croatia,1,Denmark,1,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-01,Spain,1,Russia,1,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-02,Belgium,3,Japan,2,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-02,Brazil,2,Mexico,0,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-03,Colombia,1,England,1,1
2018 FIFA Men's World Cup,2018,round of 16,2018-07-03,Sweden,1,Switzerland,0,1
2018 FIFA Men's World Cup,2018,quarter-finals,2018-07-06,Brazil,1,Belgium,2,1
2018 FIFA Men's World Cup,2018,quarter-finals,2018-07-06,Uruguay,0,France,2,1
2018 FIFA Men's World Cup,2018,quarter-finals,2018-07-07,Russia,2,Croatia,2,0
2018 FIFA Men's World Cup,2018,quarter-finals,2018-07-07,Sweden,0,England,2,1
2018 FIFA Men's World Cup,2018,semi-finals,2018-07-10,France,1,Belgium,0,1
2018 FIFA Men's World Cup,2018,semi-finals,2018-07-11,Croatia,2,England,1,1
2018 FIFA Men's World Cup,2018,third-place match,2018-07-14,Belgium,2,England,0,1
2018 FIFA Men's World Cup,2018,final,2018-07-15,France,4,Croatia,2,1
2019 FIFA Women's World Cup,2019,Group A,2019-06-07,France,4,South Korea,0,0
2019 FIFA Women's World Cup,2019,Group A,2019-06-08,Norway,3,Nigeria,0,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-08,Germany,1,China,0,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-08,Spain,3,South Africa,1,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-09,Australia,1,Italy,2,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-09,Brazil,3,Jamaica,0,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-09,England,2,Scotland,1,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-10,Argentina,0,Japan,0,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-10,Canada,1,Cameroon,0,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-11,New Zealand,0,Netherlands,1,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-11,Chile,0,Sweden,2,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-11,United States,13,Thailand,0,1
2019 FIFA Women's World Cup,2019,Group A,2019-06-12,France,2,Norway,1,0
2019 FIFA Women's World Cup,2019,Group A,2019-06-12,Nigeria,2,South Korea,0,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-12,Germany,1,Spain,0,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-13,South Africa,0,China,1,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-13,Australia,3,Brazil,2,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-14,Jamaica,0,Italy,5,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-14,England,1,Argentina,0,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-14,Japan,2,Scotland,1,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-15,Canada,2,New Zealand,0,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-15,Netherlands,3,Cameroon,1,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-16,Sweden,5,Thailand,1,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-16,United States,3,Chile,0,1
2019 FIFA Women's World Cup,2019,Group A,2019-06-17,Nigeria,0,France,1,1
2019 FIFA Women's World Cup,2019,Group A,2019-06-17,South Korea,1,Norway,2,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-17,China,0,Spain,0,1
2019 FIFA Women's World Cup,2019,Group B,2019-06-17,South Africa,0,Germany,4,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-18,Italy,0,Brazil,1,1
2019 FIFA Women's World Cup,2019,Group C,2019-06-18,Jamaica,1,Australia,4,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-19,Japan,0,England,2,1
2019 FIFA Women's World Cup,2019,Group D,2019-06-19,Scotland,3,Argentina,3,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-20,Cameroon,2,New Zealand,1,1
2019 FIFA Women's World Cup,2019,Group E,2019-06-20,Netherlands,2,Canada,1,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-20,Sweden,0,United States,2,1
2019 FIFA Women's World Cup,2019,Group F,2019-06-20,Thailand,0,Chile,2,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-22,Germany,3,Nigeria,0,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-22,Norway,1,Australia,1,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-23,England,3,Cameroon,0,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-23,France,2,Brazil,1,0
2019 FIFA Women's World Cup,2019,round of 16,2019-06-24,Spain,1,United States,2,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-24,Sweden,1,Canada,0,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-25,Italy,2,China,0,1
2019 FIFA Women's World Cup,2019,round of 16,2019-06-25,Netherlands,2,Japan,1,1
2019 FIFA Women's World Cup,2019,quarter-final,2019-06-27,Norway,0,England,3,1
2019 FIFA Women's World Cup,2019,quarter-final,2019-06-28,France,1,United States,2,0
2019 FIFA Women's World Cup,2019,quarter-final,2019-06-29,Germany,1,Sweden,2,1
2019 FIFA Women's World Cup,2019,quarter-final,2019-06-29,Italy,0,Netherlands,2,1
2019 FIFA Women's World Cup,2019,semi-final,2019-07-02,England,1,United States,2,1
2019 FIFA Women's World Cup,2019,semi-final,2019-07-03,Netherlands,1,Sweden,0,1
2019 FIFA Women's World Cup,2019,third-place match,2019-07-06,England,1,Sweden,2,1
2019 FIFA Women's World Cup,2019,final,2019-07-07,United States,2,Netherlands,0,1
2022 FIFA Men's World Cup,2022,Group A,2022-11-20,Qatar,0,Ecuador,2,0
2022 FIFA Men's World Cup,2022,Group A,2022-11-21,Senegal,0,Netherlands,2,1
2022 FIFA Men's World Cup,2022,Group B,2022-11-21,England,6,Iran,2,1
2022 FIFA Men's World Cup,2022,Group B,2022-11-21,United States,1,Wales,1,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-22,Argentina,1,Saudi Arabia,2,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-22,Mexico,0,Poland,0,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-22,Denmark,0,Tunisia,0,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-22,France,4,Australia,1,1
2022 FIFA Men's World Cup,2022,Group E,2022-11-23,Germany,1,Japan,2,1
2022 FIFA Men's World Cup,2022,Group E,2022-11-23,Spain,7,Costa Rica,0,1
2022 FIFA Men's World Cup,2022,Group F,2022-11-23,Belgium,1,Canada,0,1
2022 FIFA Men's World Cup,2022,Group F,2022-11-23,Morocco,0,Croatia,0,1
2022 FIFA Men's World Cup,2022,Group G,2022-11-24,Brazil,2,Serbia,0,1
2022 FIFA Men's World Cup,2022,Group G,2022-11-24,Switzerland,1,Cameroon,0,1
2022 FIFA Men's World Cup,2022,Group H,2022-11-24,Portugal,3,Ghana,2,1
2022 FIFA Men's World Cup,2022,Group H,2022-11-24,Uruguay,0,South Korea,0,1
2022 FIFA Men's World Cup,2022,Group A,2022-11-25,Netherlands,1,Ecuador,1,1
2022 FIFA Men's World Cup,2022,Group A,2022-11-25,Qatar,1,Senegal,3,0
2022 FIFA Men's World Cup,2022,Group B,2022-11-25,England,0,United States,0,1
2022 FIFA Men's World Cup,2022,Group B,2022-11-25,Wales,0,Iran,2,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-26,Argentina,2,Mexico,0,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-26,Poland,2,Saudi Arabia,0,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-26,France,2,Denmark,1,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-26,Tunisia,0,Australia,1,1
2022 FIFA Men's World Cup,2022,Group E,2022-11-27,Japan,0,Costa Rica,1,1
2022 FIFA Men's World Cup,2022,Group E,2022-11-27,Spain,1,Germany,1,1
2022 FIFA Men's World Cup,2022,Group F,2022-11-27,Belgium,0,Morocco,2,1
2022 FIFA Men's World Cup,2022,Group F,2022-11-27,Croatia,4,Canada,1,1
2022 FIFA Men's World Cup,2022,Group G,2022-11-28,Brazil,1,Switzerland,0,1
2022 FIFA Men's World Cup,2022,Group G,2022-11-28,Cameroon,3,Serbia,3,1
2022 FIFA Men's World Cup,2022,Group H,2022-11-28,Portugal,2,Uruguay,0,1
2022 FIFA Men's World Cup,2022,Group H,2022-11-28,South Korea,2,Ghana,3,1
2022 FIFA Men's World Cup,2022,Group A,2022-11-29,Ecuador,1,Senegal,2,1
2022 FIFA Men's World Cup,2022,Group A,2022-11-29,Netherlands,2,Qatar,0,1
2022 FIFA Men's World Cup,2022,Group B,2022-11-29,Iran,0,United States,1,1
2022 FIFA Men's World Cup,2022,Group B,2022-11-29,Wales,0,England,3,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-30,Poland,0,Argentina,2,1
2022 FIFA Men's World Cup,2022,Group C,2022-11-30,Saudi Arabia,1,Mexico,2,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-30,Australia,1,Denmark,0,1
2022 FIFA Men's World Cup,2022,Group D,2022-11-30,Tunisia,1,France,0,1
2022 FIFA Men's World Cup,2022,Group E,2022-12-01,Costa Rica,2,Germany,4,1
2022 FIFA Men's World Cup,2022,Group E,2022-12-01,Japan,2,Spain,1,1
2022 FIFA Men's World Cup,2022,Group F,2022-12-01,Canada,1,Morocco,2,1
2022 FIFA Men's World Cup,2022,Group F,2022-12-01,Croatia,0,Belgium,0,1
2022 FIFA Men's World Cup,2022,Group G,2022-12-02,Cameroon,1,Brazil,0,1
2022 FIFA Men's World Cup,2022,Group G,2022-12-02,Serbia,2,Switzerland,3,1
2022 FIFA Men's World Cup,2022,Group H,2022-12-02,Ghana,0,Uruguay,2,1
2022 FIFA Men's World Cup,2022,Group H,2022-12-02,South Korea,2,Portugal,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-03,Argentina,2,Australia,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-03,Netherlands,3,United States,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-04,England,3,Senegal,0,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-04,France,3,Poland,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-05,Brazil,4,South Korea,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-05,Japan,1,Croatia,1,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-06,Morocco,0,Spain,0,1
2022 FIFA Men's World Cup,2022,round of 16,2022-12-06,Portugal,6,Switzerland,1,1
2022 FIFA Men's World Cup,2022,quarter-finals,2022-12-09,Croatia,1,Brazil,1,1
2022 FIFA Men's World Cup,2022,quarter-finals,2022-12-09,Netherlands,2,Argentina,2,1
2022 FIFA Men's World Cup,2022,quarter-finals,2022-12-10,England,1,France,2,1
2022 FIFA Men's World Cup,2022,quarter-finals,2022-12-10,Morocco,1,Portugal,0,1
2022 FIFA Men's World Cup,2022,semi-finals,2022-12-13,Argentina,3,Croatia,0,1
2022 FIFA Men's World Cup,2022,semi-finals,2022-12-14,France,2,Morocco,0,1
2022 FIFA Men's World Cup,2022,third-place match,2022-12-17,Croatia,2,Morocco,1,1
2022 FIFA Men's World Cup,2022,final,2022-12-18,Argentina,3,France,3,1
